country,share_of_top_1,share_of_top_2,share_of_top_3,share_of_top_4,share_of_top_5,share_of_top_6,share_of_top_7,share_of_top_8,share_of_top_9,share_of_top_10
Liberia,0.7069015689737582,0.7463268636518406,0.7810883601183616,0.8101989480905557,0.8341421008034821,0.8516795768532263,0.8691890985263461,0.8854590039901435,0.901692247976401,0.9159224004835649
Libya,0.1981911394765655,0.31341286855848793,0.367511819699875,0.3985102964713241,0.4292278262552033,0.45964980650099463,0.48796095764743175,0.5114450531882692,0.5341594726288881,0.5556828715428842
Liechtenstein,0.16457182122713088,0.31336788158158446,0.4479628940361325,0.5752855956709709,0.6900392246685945,0.7938557562916941,0.8708449050877545,0.9241560970023192,0.9604603888109485,0.9892060583502734
Lithuania,0.21379961179377452,0.3278726393450636,0.3957898073002323,0.4349975323202969,0.4688532306105812,0.49644709310484564,0.515839665467779,0.5318441057144524,0.5477905988498878,0.5635585202751817
Luxembourg,0.20490101509957273,0.2803267343399715,0.3284577914703847,0.3502480968553022,0.370119893439929,0.3893236855676301,0.4073758380115912,0.42438055946709274,0.44111807913982404,0.4571662182130079
Macao SAR China,0.8528328600736026,1,1,1,1,1,1,1,1,1
Madagascar,0.22080709802257123,0.2772739514574894,0.3199638920531429,0.362596401575084,0.39582870421426275,0.4250719197391746,0.44748132835619175,0.462044114263948,0.474165997728282,0.4859300414256389
Malawi,0.3578395734204263,0.6472976869019584,0.7273323479354589,0.7653158121082073,0.787599829260416,0.8088146394761848,0.8281649118609813,0.8414713108432144,0.8546446201797897,0.8677772008778144
Malaysia,0.07416133765278697,0.12017306717898377,0.16505149609044698,0.2088205971712319,0.2516655729296466,0.2941826316057389,0.33196526945460286,0.3680925610614863,0.3976249907806793,0.42664226067230093
Maldives,0.5518843572534847,0.6111746829244926,0.6640090691844653,0.714570837036761,0.7485057667026809,0.7753514042865735,0.8019628610509396,0.8181373044723215,0.8341041785309411,0.8496718807380954
Mali,0.561926850613238,0.6083588627610276,0.6373394596870753,0.6646925888275214,0.6905741648926329,0.7153220695477969,0.7350270039493076,0.7527199341144044,0.770033245854503,0.7837541391168608
Malta,0.06443789290784992,0.11341889658001746,0.1606422472217418,0.2060737570738496,0.2398613183604355,0.2713301451572034,0.3012746001037699,0.3308771774586026,0.35994079484529035,0.38767712275818794
Marshall Islands,0.5001476814019887,0.7955104853795412,0.8362311706212464,0.8598601949394507,0.8771881461061337,0.8940041350792557,0.9100324899084375,0.924091759377769,0.9359456532440681,0.9454366446785468
Martinique,0.2717675231845676,0.3943143075431757,0.4662279893823589,0.5277716542804253,0.5872074939528367,0.6397340154070549,0.6909922179575838,0.7364101139373148,0.7767517144953752,0.8100450857172192
Mauritania,0.5094459072036278,0.5722586311154539,0.5989456951728374,0.6252190196349974,0.6510239839940408,0.676392414372677,0.7005987611896777,0.7243320169934292,0.7450159861754204,0.7590594778623512
Mauritius,0.1325977894388858,0.2310804311781544,0.3262025553259591,0.39335994526131995,0.45939830163165346,0.48020805482068557,0.49820057694295405,0.5136073627283234,0.5288279276608867,0.5439562363911424
Mayotte,0.15272791084395743,0.20319433109291915,0.25260507338215266,0.3001245087197885,0.34435713668940504,0.3870828470436839,0.419666806866642,0.4515376966165382,0.47978474197169446,0.5071710894652253
Mexico,0.10976159520109198,0.12692573043882485,0.1431369260743424,0.15850365635899988,0.1736113162053175,0.18830089039593798,0.2025338906594545,0.2159396207497333,0.22912161711664047,0.241492404641848
Micronesia (Federated States of),0.3070581717451524,0.5217063711911357,0.6850526315789474,0.8196565096952909,0.9455512465373961,0.967601108033241,0.9817839335180055,0.9952354570637119,1,1
Moldova,0.34126806967085566,0.425512711818933,0.4925864714909692,0.5517052832659018,0.5814618860068039,0.599969950955667,0.6184404545991136,0.6331553642910035,0.6465261158390659,0.6590039814983741
Monaco,0.4659627399428943,0.6922935572329177,0.8642750120148136,0.9151895513527266,0.9575947756763633,1,1,1,1,1
Mongolia,0.5520574943083353,0.6159753461394699,0.6707898017915348,0.6965388666856607,0.7167511376794736,0.7364151530280179,0.7558883571150383,0.7751132451767879,0.793671600749653,0.8119189078277053
Montenegro,0.4738859722133299,0.5903546962033421,0.6294417056149562,0.668434678916704,0.7044485082271592,0.7399161277930726,0.770727959536462,0.8010135892182598,0.8231680965490749,0.8448324156476087
Montserrat,1,1,1,1,1,1,1,1,1,1
Morocco,0.15174878596343372,0.22028715485876443,0.26962496344385484,0.3124736707792373,0.3536968326700277,0.39394425335328254,0.422850151988706,0.4463741995678872,0.4687150388204012,0.4882095384787966
Mozambique,0.14187410299611453,0.2774338187226235,0.3645342386114566,0.4422940596663185,0.4900113310514451,0.5303743859897462,0.5699281447172675,0.6017370585531122,0.6288501775409109,0.6551858837394776
Myanmar (Burma),0.3533624827023446,0.4487022270028485,0.5217006017039004,0.5563342662657149,0.5757530176936223,0.5950384780351836,0.6137488690184244,0.6281126605618981,0.642139633658643,0.6561428526896744
Nauru,0.28402719790051295,0.49922462125730643,0.6662292735297626,0.7974472146009781,0.8940713348443278,0.939162590957891,0.9785279732792557,1,1,1
Nepal,0.28002396647954664,0.3517403170588175,0.40984757482098433,0.46193408946307823,0.5094534986419836,0.5492140901309711,0.5880450680095455,0.626089912740968,0.6596973474753166,0.6919771510759967
Netherlands,0.044591118212314845,0.08055803773009518,0.10907500648451815,0.13082486798579263,0.14484718001924252,0.1574506542298599,0.16945245414210094,0.18006048849916445,0.1901418849847901,0.19968570078671605
New Caledonia,0.40147024564491496,0.507942260071269,0.5914028593861897,0.6458338725959671,0.690592671205101,0.722913916427234,0.7439883001578961,0.7648081519253833,0.7845322220208975,0.8042131511057041
New Zealand,0.0707924156524909,0.135484869859584,0.19713259462986565,0.25845406208984917,0.29366562792843887,0.323902870861055,0.35019317956213086,0.3727737088781966,0.3920848892385229,0.4074321957354138
Nicaragua,0.3148904292223258,0.3616628481930206,0.40376734493113803,0.4446661100755928,0.4799672517344931,0.5111693590141866,0.5401020632701667,0.5599173526975251,0.5777153230817024,0.5950291886714301
Niger,0.342625997509946,0.4362494402555282,0.5187872246251329,0.5600641408925369,0.598773609568848,0.6263267561740139,0.6492500071181377,0.6713793915674657,0.6919329497304167,0.707860236011565
Nigeria,0.21080497127658973,0.2780685798656237,0.32805735944635395,0.3649085014228308,0.3939510371068944,0.4192947592840253,0.44370692842978066,0.4649819557492857,0.48087315451981105,0.4960793878260896
Niue,1,1,1,1,1,1,1,1,1,1
Norfolk Island,1,1,1,1,1,1,1,1,1,1
North Korea,0.34624330846119994,0.40632071350622934,0.4552160286365353,0.5021770236078402,0.5393677674560304,0.5757066581986429,0.6110839768977696,0.6462241264529566,0.6795481643033036,0.7105093226171997
North Macedonia,0.20108662973712046,0.23286616695192355,0.26412190984640166,0.2934607433729644,0.3208881722415263,0.3476393686690543,0.37229030654459194,0.3967960047662319,0.41838039578017405,0.4388236180849199
Northern Mariana Islands,0.762733312242961,1,1,1,1,1,1,1,1,1
Norway,0.15461092427476814,0.23082637939601508,0.2875152744930361,0.32613521738295953,0.35359385096359924,0.3784395599239954,0.4023466739458201,0.42510806770465687,0.44743628430496524,0.46461622369748296
Oman,0.24987741271220767,0.3975082487763218,0.5176679320433765,0.5689203916271942,0.6200684482267795,0.6639615947508813,0.7015842917715399,0.7355306242483298,0.7691223628057001,0.7947205323360811
Pakistan,0.21548775728556982,0.33247790532049715,0.3789447290248013,0.4112580332745091,0.437901153935221,0.4636006992171624,0.489265782679278,0.511859185333702,0.5264839548807094,0.5400846948810906
Palau,0.4608901764550961,0.8781933105082961,0.9013036607848302,0.9204306031077166,0.9364959178298656,0.9463721358967606,0.9552936528838557,0.9641822491440611,0.971523571240453,0.9787990518830656
Palestinian Territories,0.1111233052427242,0.21749764484617623,0.2624299064450656,0.3061648080993941,0.3477986868217501,0.3816117165367732,0.4143814993748562,0.4298197888962313,0.4445874011788871,0.4593101286792225
Panama,0.1631822147025829,0.2917156744767325,0.3319491208978364,0.3647148565027334,0.3954248627314894,0.4260661047726344,0.4536925169371791,0.4781725677267279,0.49881821547338145,0.519145229164651
Papua New Guinea,0.3653076621998826,0.46348635759679463,0.5153290347832357,0.5586188161133828,0.5949238827031426,0.6302259828813332,0.664052602305149,0.6978521841235181,0.7221177912593859,0.745940496667937
Paraguay,0.36866006418097624,0.4437289734177738,0.5004074114054301,0.5497924888061353,0.5812255969770969,0.6111141234461533,0.6350272826355687,0.6585668570075508,0.6772483364034279,0.6958984764604256
Peru,0.3443953795034013,0.4022619786531006,0.44714375808129314,0.48809100938222333,0.5126846701229941,0.5342499936791869,0.5545589443423025,0.5736304400389861,0.5904388620684621,0.6049518051352066
Philippines,0.04338470239483174,0.07129933658504431,0.09643422492699454,0.11999818274757287,0.14000736043786483,0.15763279244572187,0.172779217544328,0.1837335517094324,0.19457284663245672,0.2046970696914578
Pitcairn Islands,1,1,1,1,1,1,1,1,1,1
Poland,0.05839916798617308,0.08477460053616488,0.1106798243680376,0.13246254772978736,0.15203091568284513,0.16787717249379525,0.18186887534274546,0.19444158057238245,0.2067944319190784,0.21768131623857317
Portugal,0.05972599737589573,0.08851997635422525,0.10915039577836412,0.12315261617428666,0.1366606975503554,0.14895442421096644,0.16088100696396904,0.17251322865752555,0.18335360525974306,0.19152131724267196
Puerto Rico,0.17878338025182058,0.2657930877609449,0.33865242465392625,0.3974392083488683,0.43496003092173446,0.47207466367482925,0.5068616149765179,0.53903313140711,0.570278535048623,0.5840137369121364
Qatar,0.46914327449190957,0.8397163969409169,0.8796903922867366,0.9156453628886927,0.9413820820860302,0.9527795194307266,0.9626400708327609,0.9704863495966695,0.9776498701807405,0.9846488215621018
Romania,0.07539316175020272,0.09087375065833038,0.10609387910690618,0.12086441705675825,0.13473569368211286,0.14750094715632805,0.16022266336945548,0.172876302407727,0.18515385019800418,0.1969654207713622
Russia,0.07923735436917344,0.12008737859134903,0.13239774243476718,0.14380921927702167,0.15341896071559183,0.16291029518065453,0.17208770194550527,0.18103382851282818,0.18991377143628574,0.1985411158693639
Rwanda,0.5190735657362302,0.5980592357008977,0.6391200340951272,0.679270254292824,0.7189952019357233,0.7513457035098734,0.7806212278828484,0.8026290825936127,0.8242606994083762,0.8454510042939697
Réunion,0.17139038114190855,0.28793561883372815,0.38104445529719366,0.4717900502437993,0.5350792970519281,0.5948081776572901,0.6377839572003008,0.6787840934133779,0.7178152308368688,0.7564565552266508
Saint Martin (French part),1,1,1,1,1,1,1,1,1,1
Samoa,0.5031503710713752,0.585869402799223,0.6420032873437267,0.6742790257508592,0.7019973103551327,0.7292548687552921,0.7553792897345221,0.7808188474373662,0.8044155003237535,0.8271778652189072
San Marino,0.3043292462443707,0.5154991617632556,0.6634232931198842,0.7673317773906183,0.8498405706584268,0.9001347753196804,0.9388251536767365,0.9700864534367707,1,1
Saudi Arabia,0.20919707295125495,0.3965240327441298,0.46683785463123884,0.5247378322417628,0.5805232581315063,0.6226876697499295,0.6558845328360349,0.6865578476672076,0.7162649900258381,0.7432521695901033
Senegal,0.30595647388251446,0.40700488662744555,0.49409400049688246,0.530829891977198,0.5600000601160726,0.5870185352880768,0.6139293795686047,0.6394863405300365,0.6650433014914682,0.6892922754430584
Serbia,0.2603376650347157,0.31143833253207487,0.3554666676477995,0.3872698834741259,0.41741375842547807,0.44134358780648136,0.461783854805425,0.48115264300828403,0.4987304550166956,0.5156643986146404
Seychelles,0.42186290054943026,0.5363398355396586,0.6134628857996238,0.6902171908993694,0.7665843135808843,0.8419558243298056,0.9123492754157602,0.9599174010841107,1,1
Sierra Leone,0.4160838182051931,0.5064680108987305,0.5806694756748463,0.6452935980325883,0.6907459285278834,0.7192576380277776,0.7309013017928163,0.7419472564477935,0.7519051005893111,0.7612092489912039
Singapore,0.8378155905287181,0.8768528313997718,0.9147014073792317,0.9406217311715481,0.9624797926968429,0.978853651578547,0.9931072294598706,1,1,1
Sint Maarten,0.3547576151171073,0.6899484644069217,0.9413416013742825,1,1,1,1,1,1,1
Slovakia,0.13748191590942493,0.21153754434029204,0.23954707930784208,0.2667675493141267,0.29335306860939303,0.3177897485796344,0.3382931084325153,0.3572014669081015,0.375835015341668,0.3935558829627183
Slovenia,0.2272509084777061,0.3082429586194979,0.33991633573562696,0.37153211123290003,0.39303087196328856,0.41333919923732115,0.43352731443721965,0.4486907318995261,0.46134889634463466,0.47273899036884237
Solomon Islands,0.6228206035932383,0.7393353394105673,0.8265333215328791,0.9059319408797238,0.9446521816089919,0.9745220816001416,0.9938822019647756,1,1,1
Somalia,0.41791148204480755,0.5144817811881738,0.5916737955890278,0.6308199789879859,0.6687559685879435,0.7059243606261218,0.7299444137893604,0.7509174987691302,0.7703012755817394,0.7863365049499704
South Africa,0.15070116314607088,0.276661497033487,0.36010773111902733,0.4054386623451129,0.4487475691795013,0.4768299843573846,0.4969099603441568,0.5130987782542935,0.5279679811505575,0.5416512581431617
South Georgia & South Sandwich Islands,1,1,1,1,1,1,1,1,1,1
South Korea,0.2248377747358089,0.3047540165539398,0.3689501202799123,0.42470794672967466,0.4570800473515934,0.4890057229905716,0.5159730811101337,0.5392853984987659,0.5617040838250945,0.5839873578458283
South Sudan,0.25844957821028836,0.43074929701714726,0.5804892393082282,0.6728217869548437,0.7459825448898201,0.7907804717796034,0.8189227591847237,0.8445379840473434,0.8677306748635386,0.8899831835474444
Spain,0.06261142395460824,0.09377043115033452,0.1090099600220336,0.12216770016073299,0.1351536597497096,0.1462773781861393,0.1551298358469836,0.16300756917061224,0.17028640700106215,0.17693650455906887
Sri Lanka,0.15534397175956413,0.20803997116698672,0.25486964615794344,0.2954060629392941,0.3357454333545801,0.3686399509829186,0.3969693214149847,0.4247346406312963,0.45151113228067746,0.47750111647621646
St. Barthélemy,1,1,1,1,1,1,1,1,1,1
St. Helena,0.5220968252294061,0.8237527686952854,0.9328129944098724,1,1,1,1,1,1,1
St. Kitts & Nevis,0.40227916679640063,0.49325902170190244,0.5732166765264501,0.6498116262415543,0.7224211476787994,0.7865304978671731,0.8392128779151228,0.8871002895662733,0.9116355824018433,0.935921785970047
St. Lucia,0.35964107820395247,0.5930481379583176,0.6752980525435616,0.7365449281616946,0.7890165614716513,0.8406250561939185,0.8830986675298053,0.9173724622826419,0.9508550466634299,0.9734405063746381
St. Pierre & Miquelon,0.8445715842528266,1,1,1,1,1,1,1,1,1
St. Vincent & Grenadines,0.7826475564209787,0.8362754173715964,0.8798480543939733,0.9133654674881093,0.9452868132920484,0.9720688224215533,0.9955310115874485,1,1,1
Sudan,0.21723853336566273,0.34925516218022823,0.41149374175171105,0.46537027804022196,0.5095383114457097,0.5528079716921144,0.5928469650037118,0.6308092267301989,0.66741237726304,0.6965367857735361
Suriname,0.7070669725524398,0.7646512333390213,0.8109828160450991,0.8525143936952139,0.8917139083227474,0.914067585587977,0.9296620720601154,0.9436512902186072,0.9567493948644054,0.9693419031909448
Svalbard & Jan Mayen,0.9941225860621327,1,1,1,1,1,1,1,1,1
Sweden,0.1583495748701313,0.21976019558618318,0.256525000608829,0.2750327748585923,0.2924534366018792,0.3087574066790579,0.32334902561753814,0.3369600379282171,0.3503175892420492,0.36362538903650016
Switzerland,0.04591845372801731,0.07064008494369739,0.09274243070442695,0.11143485459626616,0.12777848098374303,0.14012821101983766,0.15110507697686648,0.1605878766037463,0.16905322230024672,0.17634416924456597
Syria,0.20193651012411018,0.3529785637649363,0.4276052110958877,0.4958409861984724,0.54703725846556706,0.5913666441973028,0.6354770787465868,0.6761341478766452,0.7022927990372693,0.714875995674487
São Tomé & Príncipe,0.8038488221277109,0.8732392242029379,0.9332187132386209,0.9516785811238802,0.9691129007932917,0.9845866135794649,1,1,1,1
Taiwan,0.5053899962840009,0.6029581484001044,0.6697745464593616,0.7192892066791423,0.7541727305248392,0.7801172478597053,0.8059272624643263,0.8314484332582686,0.8539491028828398,0.871385921268586
Tajikistan,0.24650354280813033,0.34591768871544226,0.4451504219477408,0.5230490245984702,0.5996414559891037,0.6689410978442006,0.7091421466271574,0.7269931538484703,0.7435717325672397,0.756996270518227
Tanzania,0.3128706700832351,0.37705894731250916,0.4129520356769619,0.44442682294873537,0.471822346963557,0.49528058054156443,0.5181443646815093,0.536086579361034,0.5537524613513429,0.5703896651225548
Thailand,0.3180983976539689,0.34233493609896926,0.3581869608519955,0.3718447226327217,0.3837907461690603,0.3951902448618252,0.4063398502110633,0.41701690163911337,0.42674710033361074,0.4349755085828081
Timor-Leste,0.4415063017666139,0.5062605593590506,0.5696579209173912,0.6255820524744956,0.676667274964238,0.7272521236453114,0.7752291417706169,0.822323147292389,0.8694171528141612,0.9047376569554902
Togo,0.47075031207537027,0.5447259890340357,0.610159466118787,0.6608217942889579,0.7079684081770026,0.7468020123524078,0.7818241527499051,0.8116998751698519,0.8354025332733881,0.856327281038627
Tokelau,0.4897196261682243,0.8878504672897196,1,1,1,1,1,1,1,1
Tonga,0.4217740872545143,0.5724076898454122,0.6537498352444971,0.7180892127511345,0.7745768137227212,0.8306125138865352,0.8698902257621118,0.9078498936150182,0.9405750437778908,0.9639420813798038
Trinidad & Tobago,0.13528104223758491,0.2483880545513636,0.35956715202240475,0.45793093209968183,0.529450353685106,0.599665774596462,0.6532301099774107,0.6953593625242244,0.7335886499781329,0.7692139483936717
Tunisia,0.14147177503291844,0.19805926055329115,0.23155383237673235,0.2560016473509731,0.2795257865937631,0.3019901273227608,0.321926298595017,0.341840428996969,0.35857251078982233,0.37515051057267895
Turkey,0.20333247838400678,0.25164048495377545,0.2942437306608004,0.3285891657711766,0.3534348154612893,0.3780390749658888,0.4024797522736483,0.4215719098134951,0.44003156326042203,0.45657714018598705
Turkmenistan,0.3603781172187149,0.4766662968957068,0.5591219194282284,0.6159147770380158,0.6594067751284128,0.6969436449247945,0.7307638213451607,0.7640897592592959,0.7836418939932689,0.8023145020868948
Turks & Caicos Islands,1,1,1,1,1,1,1,1,1,1
Tuvalu,0.5445508546490484,0.668687113589526,0.7907625166686871,0.8618014304764214,0.911261971148018,0.9425384895138804,0.9728451933567706,1,1,1
U.S. Virgin Islands,0.6727961707219785,0.9387182555511235,0.9751894694854407,1,1,1,1,1,1,1
Uganda,0.3646899530766451,0.40426878288455065,0.4364268179195417,0.46270346547208085,0.48778378442476644,0.5091169186844212,0.5297320940817174,0.5479775201258907,0.5661124494983046,0.5842417192850919
Ukraine,0.08652380802451903,0.13087159231780873,0.16228945421723123,0.1922436610255965,0.22013008851643134,0.24231418703151608,0.2642749516481027,0.28295272960663975,0.2998959197846246,0.3144326029264318
United Arab Emirates,0.37866070615981456,0.5753774632051485,0.7141513919969483,0.8063314273471782,0.8596784644466304,0.8979922915771262,0.9244833000863507,0.9339013189493867,0.9431954508896127,0.9521560243663151
United Kingdom,0.1268801453451933,0.1430894365113031,0.15532331952053008,0.16419177403946358,0.17207047160142222,0.17938000582216637,0.18655110715025852,0.1931466459074902,0.1994791508426129,0.2050786891466885
United States,0.032846135375551824,0.04739134302747966,0.05759892112399139,0.06765906414426028,0.07625685072812423,0.08473596623376738,0.09073551318774094,0.09661609433510929,0.10216570296827224,0.10751791446792763
Uruguay,0.47164374211522,0.508693810909288,0.5358807366588315,0.5617437431173455,0.5857320323515842,0.6063231157347455,0.6255691238415706,0.6445066999520835,0.6602285662959916,0.6757834117032684
Uzbekistan,0.19265558227718402,0.29102736371807153,0.3410481484093186,0.38466288477489224,0.4170476544076597,0.44618907718698003,0.4734786755301265,0.5005844842182443,0.5258786937629953,0.549497661089149
Vanuatu,0.6237143849895761,0.8564628214037526,0.9085476025017373,0.9424426685198054,0.9674079221681724,0.9877519110493398,1,1,1,1
Vatican City,1,1,1,1,1,1,1,1,1,1
Venezuela,0.10187104857058789,0.17742540959377393,0.2369947089875223,0.291987077997059,0.33411802338246177,0.36637718876314795,0.3940569448974405,0.4160427206429286,0.43005403070631104,0.44382787935547546
Vietnam,0.27354708522771,0.5185193916134689,0.5485889473141499,0.5741858831767187,0.5994576255307473,0.6241593134891581,0.6420635415522842,0.6565021515819687,0.6671925649892733,0.6775817234617185
Wallis & Futuna,0.6253256904637832,0.8754559666492965,1,1,1,1,1,1,1,1
Western Sahara,0.6051530058687182,0.8363262563495586,0.9677898604330029,1,1,1,1,1,1,1
Yemen,0.33713656194490693,0.4873075097306598,0.5948234699616342,0.7018784767271573,0.8003683451474772,0.8412324179923937,0.8690939140917773,0.8848926634444587,0.896969679041356,0.9061208843067705
Zambia,0.3001420858198352,0.40700151558207825,0.5019418395377475,0.5793925831202046,0.6241446433645922,0.6593260395945818,0.6878616084114806,0.7147075400208392,0.7405678696599413,0.7621308136781283
Zimbabwe,0.30617510774482737,0.5443849946884186,0.6180592972121988,0.6626718176999394,0.6940670043137621,0.718526275806516,0.7423133886579233,0.7653934152267449,0.7840644224466455,0.8020839100859319
Åland Islands,0.3964077633873901,0.5323041525958363,0.6218131888521914,0.6896871636916911,0.75243997476528,0.8042082606598137,0.8423572197276135,0.8802092997365198,0.9036627453890971,0.9227743348053586
